channel,lower,higher
cyan1,104.84041469950036,Inf
cyan2,93.56390090742198,Inf
blue1,129.24290922821442,Inf
blue2,175.0896315870126,Inf
green1,224.17907478603507,Inf
green2,256.43781201516776,Inf
red1,119.0888491746519,Inf
red2,116.6069378517977,Inf
yellow1,156.00693238762355,Inf
yellow2,198.42532475600902,Inf
