channel,lower,higher
cyan1,-Inf,17.17857203256878
cyan2,-Inf,16.351984130099428
blue1,-Inf,17.21146852754356
blue2,-Inf,16.560389188085686
green1,-Inf,12.33947637382075
green2,-Inf,12.88860732251256
red1,-Inf,12.13981691647426
red2,-Inf,12.61920517223885
yellow1,-Inf,12.576840536521882
yellow2,-Inf,11.30498799385493
