population,sample_id,153Eu_STAT1,175Lu_pS6,144Nd_pPLCg2,158Gd_pStat3,171Yb_pERK,156Gd_p-p38,165Ho_pCREB,152Sm_Akt,167Er_total_pMET,143Nd_bio_pMET,164Dy_Ikba,150Nd_STAT5,147Sm_CD20,151Eu_CD123__IL-3R,154Sm_CD45,148Nd_CD34,141Pr_CD7,142Nd_CD19,145Nd_CD4,149Sm_CD25,155Gd_CD27,159Tb_CD11c,160Gd_CD14,166Er_CD16,168Er_CD8a,169Tm_CD45RA,170Er_CD3,172Yb_CD38,174Yb_HLA-DR,146Nd_IgD,157Gd_CD24,163Dy_CD33,176Yb_CD127__IL-7R
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c06_sample1_01_0_E04_D2_UN.fcs - c06_sample1_01_0_E04_D2_UN.fcs,1.91,42.18,3.59,1.02,1.75,6.08,183.17,9.68,7.55,38.46,3.55,1.57,168.6,0.33,875.29,3.11,2.8,118.43,1.33,3.08,18.68,7.51,1.21,0.6,2.15,370.24,25.31,49.86,417.12,37.41,2.04,0.98,3.14
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c15_sample1_01_0_E04_D2_PERV.fcs - c15_sample1_01_0_E04_D2_PERV.fcs,5.5,47.47,96.99,6.41,7.31,35.51,177.67,15.72,16.82,45.66,6.73,12.41,151.55,0.43,921.57,2.72,3.57,110.19,2.76,2.59,17.62,16.16,6.03,0.78,3.51,363.04,43.06,39.79,408.24,35.24,2.39,3.34,2.12
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c06_sample2_01_0_E05_D0_UN.fcs - c06_sample2_01_0_E05_D0_UN.fcs,8,100.41,5.59,3.6,9.22,17.97,328.44,29.62,30.07,50.3,19.02,11.75,204.99,9.47,679.91,9.48,3.81,171.27,2.11,3.36,140.42,103.43,2.55,0.95,1.46,501.52,25.57,1595.09,819.11,28.98,1.2,3.16,26.9
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c15_sample2_01_0_E05_D0_PERV.fcs - c15_sample2_01_0_E05_D0_PERV.fcs,21.82,103.54,308.16,17.19,19.02,57.35,308.07,36.36,31.66,88.52,17.01,45.1,212.92,8.32,692.2,8.91,3.79,183.65,5.56,2.37,134.93,124.28,6.49,0.83,1.42,483.34,26.28,1440.2,778.09,24.14,1.33,4.56,27.2
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c07_sample2_01_0_E05_D1_UN.fcs - c07_sample2_01_0_E05_D1_UN.fcs,10.43,102.4,6.95,7.36,10.69,20.82,359.29,34.49,34.04,44.11,28.86,16.25,175.61,11.79,709.46,11.31,5.81,175.44,1.82,4.55,230.37,117.49,6.48,2.39,2.66,587.37,19.11,2172.41,885.38,23.74,5.28,6.04,39.39
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c16_sample2_01_0_E05_D1_PERV.fcs - c16_sample2_01_0_E05_D1_PERV.fcs,51.82,119.99,311.21,20.33,23.93,87.41,384.25,51,33.02,83.13,23.67,48.96,198.69,10.71,719.96,11.29,5.73,186.25,5.6,3.27,189.04,116.64,7.54,1.63,2.87,552.78,23.8,1936.23,779.05,30.82,4.07,5.33,30.53
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c08_sample2_01_0_E05_D3_UN.fcs - c08_sample2_01_0_E05_D3_UN.fcs,11.33,78.68,6.71,2.78,13.75,30.03,462.57,33.69,33.61,57.79,23.36,11.3,103.5,10.59,775.47,10.23,5.66,123.26,1.79,2.19,384.04,54.69,3.84,1.45,1.67,620.93,16.64,2869.43,645.56,29.17,1.7,4.33,13.49
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c17_sample2_01_0_E05_D3_PERV.fcs - c17_sample2_01_0_E05_D3_PERV.fcs,36.42,80.64,423.93,39.54,31.83,117.57,497.38,45.62,32.17,145.47,17.55,81.29,102.61,8.59,756.18,9.77,6.12,116.92,7.52,2.43,300.36,77.52,15.41,1.22,1.47,524.01,17.71,2359.39,591.64,24.13,2.04,16.23,10.25
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c07_sample1_01_0_E07_D0_UN.fcs - c07_sample1_01_0_E07_D0_UN.fcs,3.88,108.76,18.68,2.26,2.47,9.99,322.46,16.17,24.08,98.04,27.19,3.37,431,1.71,1312.54,17.66,15.41,169.37,3.69,5.89,25.14,44.73,7.46,2.01,3.9,706.82,48.78,313.61,649.67,59.36,23.96,8.85,22.64
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c16_sample1_01_0_D07_D0_PERV.fcs - c16_sample1_01_0_D07_D0_PERV.fcs,17.19,103.54,570.81,169.25,25.45,217.76,382.76,24.14,27.26,270.21,20.43,151.28,368.49,2.96,1227.74,24.05,18.63,157.77,13.08,4.31,21.4,37.06,19.03,2.82,7.1,557.11,55.81,370.53,567.02,59.97,26.63,7.8,10.86
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c08_sample1_01_0_E07_D1_UN.fcs - c08_sample1_01_0_E07_D1_UN.fcs,2.4,46.63,9.39,7.48,6.84,15.19,233.72,14.25,15.81,98.84,8.39,11.24,254.13,9.79,909.62,98.26,95.4,124.72,9.91,9.33,19.99,57.86,70.37,62.89,39.27,390.11,63.68,376.76,440.81,86.06,107.07,61.19,827.85
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c17_sample1_01_0_D07_D1_PERV.fcs - c17_sample1_01_0_D07_D1_PERV.fcs,13.27,51.29,403.05,96.3,33.61,118.14,308.13,12.31,17.14,174.8,11.95,100.11,217.24,9.16,988.96,50.21,35,117.82,9.89,7.83,16.27,52.24,33.85,18.81,12.97,372.72,46.17,269.56,419.53,49.57,76.11,22.97,368.01
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c01_sample3_01_0_E09_D0_UN.fcs - c01_sample3_01_0_E09_D0_UN.fcs,3.62,62.86,4.35,1.35,1.5,7.29,222.43,6.83,9.25,68.73,3.16,1.64,449.7,2.28,1008.56,7.82,2.43,128.7,1.8,1.96,24.24,20.36,1.53,0.54,2.48,350.86,29.39,292.87,554.95,184.25,15.06,2.11,20.72
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c07_sample3_01_0_E09_D0_PERV.fcs - c07_sample3_01_0_E09_D0_PERV.fcs,5.54,51.2,175.77,4.92,11.29,40.77,184.65,8.64,9.92,74.12,3.81,17.58,379.79,0.99,980.79,4.44,2.32,115.31,3.57,4.07,23.5,20.14,2.36,0.41,1.34,328.69,35.36,235.7,478.94,133.95,11.27,1.19,12.03
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c02_sample3_01_0_E09_D1_UN.fcs - c02_sample3_01_0_E09_D1_UN.fcs,2.76,32.27,5.85,2.24,1.45,3.93,29.45,4.96,1.71,182.49,0.38,1.45,375.89,2.69,802.3,9.1,3.07,96,1.09,2.8,5.06,24.63,1.78,1.02,1.32,249.16,20.53,206.76,545.14,126.22,26.06,2.07,36.56
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c08_sample3_01_0_E09_D1_PERV.fcs - c08_sample3_01_0_E09_D1_PERV.fcs,4.94,33.05,33.41,4.35,12.37,14.6,55.58,7.43,3.94,95.7,0.86,9.96,311.74,2.78,752.32,13.23,4.89,86.99,1.48,2.47,5.36,24.12,6.48,4.15,3.7,211.28,12.61,192.6,442.43,113.4,35.41,4.4,102.1
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c03_sample3_01_0_E09_D2_UN.fcs - c03_sample3_01_0_E09_D2_UN.fcs,0.68,3.79,3.65,5.66,0.75,2.57,7.31,2.41,5.21,61.7,1.35,0.89,10.51,0.7,539.81,2.99,15.16,22.08,1.77,4.56,5.04,166.71,1.27,4.69,4.54,61.04,56.74,64.51,112.18,7.64,9.54,2.52,7.8
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c09_sample3_01_0_E09_D2_PERV.fcs - c09_sample3_01_0_E09_D2_PERV.fcs,1.03,8.73,24.96,5.74,1.17,1.91,7.22,2.94,3.96,494.88,1.05,1.15,34.87,2.32,451.76,4.14,17.16,32.39,2.92,4.59,5.62,86.24,1.95,2.73,4.14,104.47,25.9,59.2,103.71,25.92,33.87,4.65,13.35
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c01_sample2_01_0_E12_D0_UN.fcs - c01_sample2_01_0_E12_D0_UN.fcs,6.36,92.87,12.84,3.89,3.24,12.58,212.46,21.85,21.51,22.46,22.81,3.88,167.5,2.76,671.43,21.75,11.41,98.44,10.92,14.12,81.83,15.16,1.11,1.09,1.81,333.25,150.12,320.15,542.75,46.7,2.4,1.62,19
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c10_sample2_01_0_E12_D0_PERV.fcs - c10_sample2_01_0_E12_D0_PERV.fcs,20.71,84.88,847.82,11.62,35.44,84.98,312.14,41.5,20.71,286.38,17.94,94.38,130.37,1.54,730.75,7.12,25.35,83.77,44.13,13.63,90.15,18.43,7.87,1.7,24.56,244.6,375.79,247.34,369.59,50.19,2.19,0.95,22.93
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c02_sample2_01_0_E12_D1_UN.fcs - c02_sample2_01_0_E12_D1_UN.fcs,10.26,94.47,14.38,3.03,4.2,19.86,275.54,21.95,23.87,106.51,22.56,2.99,144.68,6.66,718.09,10.47,11.55,89.72,11.21,7.05,130.34,15.49,1.38,1.13,6.47,318.16,168.22,543.09,506.16,47.48,1.77,1.61,10.3
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c11_sample2_01_0_E12_D1_PERV.fcs - c11_sample2_01_0_E12_D1_PERV.fcs,21.65,85.51,795.08,12.09,43.91,96.19,305.77,41.5,21.03,171.81,13.09,85.69,116.4,3.56,665.7,13.7,17.44,76.04,31.28,9.34,108.06,14.37,11.26,1.36,22.14,235.14,276.83,364.35,374.27,45,1.51,0.76,18.66
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c04_sample3_01_0_E13_D0_UN.fcs - c04_sample3_01_0_E13_D0_UN.fcs,6.24,18.55,2.62,1.9,7.31,13.23,189.4,12.48,31.92,77.46,2.14,10,89.64,2.77,526.75,1.1,1.6,83.06,1.17,3.48,98.25,13.41,1.54,0.82,1.08,232.76,19.67,1413.76,560.96,7.6,2.46,0.27,46.08
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c10_sample3_01_0_E13_D0_PERV.fcs - c10_sample3_01_0_E13_D0_PERV.fcs,7.57,17.89,146.23,9.27,12.05,43.46,172.44,14.92,37.85,81.86,2.02,29.59,84.4,3.27,536.33,1.16,1.23,98.71,2.18,4.66,114.12,12.75,4.01,0.5,0.95,253.67,11.45,1441.84,566.21,8.06,2.7,0.28,69.46
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c05_sample3_01_0_E13_D1_UN.fcs - c05_sample3_01_0_E13_D1_UN.fcs,7.13,25.65,1.61,1.81,5.85,9.99,179.26,15.21,32.15,48.4,4.97,11.83,111.43,3.5,640.88,1.52,2.16,94.69,1.85,3.73,140.61,20.23,2.62,0.7,2.2,281.68,40.51,1336.4,642.49,13.23,3.03,0.46,46.79
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c11_sample3_01_0_E13_D1_PERV-(1).fcs - c11_sample3_01_0_E13_D1_PERV.fcs,8.51,18.96,128.98,3.83,12.39,44.14,180.41,20.06,33.16,79.67,4.9,21.43,105.93,2.52,679.02,1.14,4.13,94.85,3.87,5.06,122.29,25.22,3.58,0.61,1.74,280.94,55.45,1239.5,643.37,13.62,3,0.54,42.53
Bcell - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c11_sample3_01_0_E13_D1_PERV.fcs - c11_sample3_01_0_E13_D1_PERV.fcs,8.83,19.63,129.52,4.63,12.86,44.19,177.64,21.53,35.13,44.45,4.89,22.6,109.02,2.51,688.38,1.15,3.43,97.99,3.31,5.77,133.1,22.73,3.4,0.66,1.39,283.77,53.86,1292.95,687.91,13.78,3.04,0.55,40.12
