id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_short_name
ENSG00000138061,103.39065608771833,-5.0889609405986835,0.6226196501147979,-8.173466641569032,2.996522409096333e-16,3.863416342047902e-12,CYP1B1
ENSG00000171051,198.67145850828464,-3.693840632640627,0.4633802948499497,-7.971509953475157,1.5674726667483131e-15,1.0104712546193e-11,FPR1
ENSG00000226777,109.40177143714641,3.9547000651752526,0.510060124708885,7.753399792685978,8.946439270153159e-15,3.8448813836694896e-11,KIAA0125
ENSG00000157168,81.17712407020684,-6.231014901477827,0.8804583371849082,-7.0770127765502995,1.4729495828945601e-12,4.747684743064891e-9,NRG1
ENSG00000213402,207.9226178638948,1.606828934238008,0.2351217682482803,6.83402879371532,8.256244197106054e-12,2.041532868817627e-8,PTPRCAP
ENSG00000159714,72.23443617829514,-3.1829756094191133,0.4671317336577073,-6.813871505786955,9.500657110762244e-12,2.041532868817627e-8,ZDHHC1
ENSG00000153823,63.786530276833005,-5.257263854086328,0.7766033799119931,-6.769560872477912,1.2917385685336048e-11,2.379197909157681e-8,PID1
ENSG00000146070,21.854064838453525,-4.831928012040347,0.7175999205668881,-6.733456726448952,1.6567895198545384e-11,2.6701234099355705e-8,PLA2G7
ENSG00000123080,50.67374389918315,2.5328690525378024,0.38591361639297755,6.5633057372056305,5.262778476376968e-11,7.539222543992029e-8,CDKN2C
ENSG00000135929,29.07930687022988,-4.949654085029374,0.7649937258559005,-6.470189124089267,9.788033097462881e-11,1.2619711072558891e-7,CYP27A1
ENSG00000154188,36.40720916926169,3.608713791927688,0.5615436751583761,6.426416949509576,1.3064674637074918e-10,1.5312986372346082e-7,ANGPT1
ENSG00000197353,120.38764314585755,-3.820051839515324,0.5989110870133665,-6.378328807644978,1.7903081676336077e-10,1.9235369337750088e-7,LYPD2
ENSG00000003436,75.53178140864071,4.111119775111638,0.6519474351815235,6.305906815887646,2.8651138401144683e-10,2.841531749276603e-7,TFPI
ENSG00000226091,39.92158834370437,-3.0988269489067957,0.4924391289562056,-6.29281218061448,3.1176548134383786e-10,2.8711373935472156e-7,LINC00937
ENSG00000153113,865.3153377831724,-1.1832551318934659,0.19040723939478077,-6.2143389907574065,5.154115185795426e-10,4.020371166921616e-7,CAST
ENSG00000148411,91.93179417515242,-1.353315281369478,0.21792785066749495,-6.209923500940267,5.301040086687929e-10,4.020371166921616e-7,NACC2
ENSG00000142405,27.22282055559096,-3.454355754613904,0.55533632294128,-6.220295003068185,4.962210063400096e-10,4.020371166921616e-7,NLRP12
ENSG00000113389,11.652696598650394,4.187257078771678,0.6779022507301892,6.176785921954759,6.541968165240259e-10,4.6858664196912595e-7,NPR3
ENSG00000172889,92.92269854419496,3.5658528321569407,0.5785411617268572,6.163524858824934,7.114320388335319e-10,4.827628040358277e-7,EGFL7
ENSG00000198848,49.501336088983706,-3.5080477148296603,0.5707849345462048,-6.14600614436099,7.945820696248737e-10,5.122273311836748e-7,CES1
ENSG00000111961,26.08413736313433,-6.648082915348301,1.0833896177399713,-6.136373107596028,8.442674107985884e-10,5.183399870202952e-7,SASH1
ENSG00000253293,42.99871796562467,3.4781566145079097,0.5770812472362061,6.027152383075549,1.6687365480946762e-9,9.779554688447572e-7,HOXA10
ENSG00000178209,152.49147365318788,-1.3392709104609202,0.22267469263064776,-6.014472927475325,1.8047292335302264e-9,1.0116684351263135e-6,PLEC
ENSG00000019169,70.87647183454087,-4.426935075685738,0.7372231129777316,-6.00487830312973,1.9147546779922304e-9,1.0286221693064096e-6,MARCO
ENSG00000145349,48.709332891533734,-2.4686153550225147,0.41592749339720575,-5.935206001554258,2.9347677509958583e-9,1.5135184245435842e-6,CAMK2D
ENSG00000171476,192.1892907560657,3.2071343051135552,0.556271624684129,5.765410570662635,8.145928812620325e-9,3.893751380673365e-6,HOPX
ENSG00000167912,19.325574727317623,2.770002430878218,0.4804660487249759,5.765240724561161,8.154136917566188e-9,3.893751380673365e-6,RP11-25K19.1
ENSG00000117632,170.16622600159675,2.608317099421399,0.46273126357018085,5.6367859809105045,1.7325320956845644e-8,7.977691539164676e-6,STMN1
ENSG00000196139,22.60248960347237,3.022704678569297,0.5376801422933727,5.621752489642863,1.8902996485779092e-8,8.404011506591374e-6,AKR1C3
ENSG00000166523,144.7698167261659,-3.3838511257867587,0.606387710666203,-5.580342520578324,2.400454023926926e-8,1.0316351243496618e-5,CLEC4E
ENSG00000110203,27.761515594080333,-4.249851518267114,0.7790722200374023,-5.4550161191257525,4.89684031928875e-8,2.0366116850512855e-5,FOLR3
ENSG00000163666,9.244427420929654,3.1832730684850397,0.5876083242160247,5.417338280107074,6.049282262699035e-8,2.363436248878141e-5,HESX1
ENSG00000050405,35.641374348431185,2.4708375077015305,0.4558605962838134,5.42016030304847,5.9545617254401445e-8,2.363436248878141e-5,LIMA1
ENSG00000128040,84.61399843415052,3.224117388783544,0.5973980780445384,5.396932978654768,6.778969575674399e-8,2.5706251393873537e-5,SPINK2
ENSG00000196924,541.9351405652144,-0.9071068941869952,0.16897838710454455,-5.368182935879137,7.953386064222709e-8,2.929800186457811e-5,FLNA
ENSG00000169926,186.14532497850377,-0.9780965654344246,0.18249350828662003,-5.359623882610931,8.339539136666933e-8,2.9867132802512992e-5,KLF13
ENSG00000070444,68.02485354871081,-1.2305952091575163,0.2311308667366811,-5.324235687479545,1.0137839241061738e-7,3.5326259820272705e-5,MNT
ENSG00000164929,25.713733952767896,4.176460536278634,0.7861640871014196,5.312453983591655,1.0815874375524543e-7,3.669712324306261e-5,BAALC
