gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000187608,ISG15,E01,0.18603448616571883,2.9937727646926326,0.7780009069119648,0.23911859807995017,0.1018626810390928,8.205707336325327e-151,3.2236613613194226e-145
ENSG00000126709,IFI6,E01,0.16318666376905158,2.4524190999380204,0.7800090691196476,0.20921123898370975,0.09553486664381952,1.5923583694186122e-141,6.2556753957631835e-136
ENSG00000163131,CTSS,E01,0.157897334348402,10.146415244319012,0.9768737448986202,0.16163535479683566,0.0863084718775082,5.439427428991133e-128,2.1369117020437408e-122
ENSG00000163220,S100A9,E01,0.1434765848322875,50.81634210988133,0.9770033037507287,0.14685373558255022,0.05540819571223245,9.799377614147255e-83,3.849744291983434e-77
ENSG00000143546,S100A8,E01,0.1347735022144573,31.400548009411715,0.9485003562868433,0.1420911455869811,0.04438058571834892,1.3227535448786737e-66,5.1965166662685624e-61
ENSG00000158869,FCER1G,E01,0.1320344358957006,7.115152369124566,0.9681285223812917,0.1363811031730967,0.05541003862036562,9.738726352423077e-83,3.82591707990752e-77
ENSG00000206503,HLA-A,E01,0.13907013061937654,6.040142901304668,0.9842585994688087,0.14129430080106065,0.04654280818787708,9.105404971721252e-70,3.5771129755705244e-64
ENSG00000234745,HLA-B,E01,0.15486221663859498,11.870269763549594,0.9984452937746972,0.15510335679296638,0.10820247171093528,4.01301891537557e-160,1.576538559018785e-154
ENSG00000204482,LST1,E01,0.13018750203493493,6.887928518412459,0.9733756558916888,0.13374846725098433,0.046145626729784714,3.468803927726894e-69,1.3627404358310766e-63
ENSG00000196126,HLA-DRB1,E01,0.16669866634656377,6.951126963912538,0.9641769773919803,0.1728921870728235,0.1077226353879889,2.033964575456406e-159,7.990551872555018e-154
ENSG00000231389,HLA-DPA1,E01,0.15365464346438273,5.9851171259516445,0.9181188054673836,0.1673581268016423,0.07163134194657234,1.7525596127296588e-106,6.885035592185228e-101
ENSG00000160932,LY6E,E01,0.1329817577333362,1.953413696542162,0.7605104618773078,0.17485855145907248,0.05354431294561297,5.224981009061639e-80,2.052665139295919e-74
ENSG00000122862,SRGN,E01,0.14573589922412797,6.11077995669844,0.9773272008810002,0.14911679434764125,0.05610605981056157,9.335666147219891e-84,3.6675724599322178e-78
ENSG00000197746,PSAP,E01,0.14428110973051306,5.862266062855044,0.9611323443674289,0.1501157572898787,0.04815937111235662,3.935356977171225e-72,1.5460286006235787e-66
ENSG00000185201,IFITM2,E01,0.1653582628423353,3.588419050503888,0.8792511498348125,0.1880671556396618,0.08384795642050089,2.2027328673469547e-124,8.653568233344553e-119
ENSG00000167996,FTH1,E01,0.13132812607216457,30.314531184166693,0.9994169851655115,0.1314047369831478,0.037520010776691,1.4253813426789776e-56,5.599696127594924e-51
ENSG00000100911,PSME2,E01,0.1317675454192214,2.11253568321388,0.7873939236898361,0.16734640877305806,0.039386820645758304,2.6552429883563118e-59,1.0431281394337072e-53
ENSG00000119655,NPC2,E01,0.13372980717100785,3.424659747607978,0.9130660102351493,0.14646236490236597,0.029977423435556174,1.5284039989989052e-45,6.004426814307139e-40
ENSG00000170345,FOS,E01,0.1309505020245238,9.419389872562805,0.9735699941698517,0.13450548271691887,0.019378270144256915,4.9668321520624374e-30,1.951249811930641e-24
ENSG00000166710,B2M,E01,0.14850253587811635,50.26227716404938,1,0.14850253587811635,0.10126031483321525,6.287590537901459e-150,2.4701176683578156e-144
ENSG00000197766,CFD,E01,0.19065137628502285,5.187216225278331,0.9402733691779491,0.2027616462770856,0.1502053365884065,6.049536786552067e-222,2.376596823817699e-216
