id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_short_name
ENSG00000163661,22.54339489510578,-4.840222402138034,0.6330009936015846,-7.646468885615217,2.065734171622242e-14,2.456984223727495e-10,PTX3
ENSG00000169508,102.37005147771727,-3.287112226993641,0.4569839311980499,-7.1930586670213925,6.335570256758447e-13,3.767763631694248e-9,GPR183
ENSG00000169429,949.0171088389515,-3.5715831162622846,0.572701455732095,-6.236378623652463,4.4781647385262167e-10,1.775443046667694e-6,IL8
ENSG00000116741,389.62249779164205,-2.5295363676713425,0.4632527678478402,-5.460380473111805,4.751152731877381e-8,9.588718006112462e-5,RGS2
ENSG00000166920,20.37754845615503,-4.7647660754948244,0.8731159558689114,-5.457197344140852,4.837086601368318e-8,9.588718006112462e-5,C15orf48
ENSG00000103381,105.18298762715939,-1.9812387683033328,0.3621615305837966,-5.470594198974195,4.4852923047611116e-8,9.588718006112462e-5,CPPED1
ENSG00000136732,182.299978047162,2.374489997176153,0.44052265437921245,5.390165462709972,7.039284070669116e-8,1.1960749248076923e-4,GYPC
ENSG00000137331,141.21826265873747,-2.9232327304424386,0.5735840885301142,-5.096432744383849,3.4611344664265314e-7,5.145841667959645e-4,IER3
ENSG00000119866,89.13652386524446,2.826249469676652,0.5753308336833132,4.912390061875844,8.997283381053691e-7,0.001070136885342526,BCL11A
ENSG00000108511,17.615004410565998,-5.079860733167502,1.0298749169698624,-4.932502626740016,8.118268756047935e-7,0.001070136885342526,HOXB6
ENSG00000129277,97.26162324964221,-2.900057282293874,0.5930976930608012,-4.889678911626749,1.010005887596662e-6,0.0010920918206431542,CCL4
ENSG00000006075,569.4070064492421,-3.186466516709183,0.6764353640030752,-4.710674051474778,2.4689883956022094e-6,0.002447178998107723,CCL3
ENSG00000122877,15.486669139579101,-3.9255667669977767,0.8387084895893229,-4.680490081744549,2.861899573904664e-6,0.002618417964001698,EGR2
ENSG00000233101,20.370529471967256,-6.002264405707968,1.2905647563510445,-4.650882008182859,3.305183999258995e-6,0.0028079898919418918,HOXB-AS3
ENSG00000254415,21.082528394727074,-3.0048266201137324,0.651658586563078,-4.611044313804768,4.0065111049200634e-06,0.003176896205461282,SIGLEC14
ENSG00000157168,27.296545307709064,-4.017672526172907,0.8878803555299256,-4.525015674859689,6.0391029571121674e-6,0.004321715891305072,NRG1
ENSG00000186431,16.648390415653676,-3.914562535206155,0.8660079238015943,-4.520238704077951,6.176994295626889e-6,0.004321715891305072,FCAR
ENSG00000268734,36.70002891211882,-2.9468294842782714,0.6555796476831679,-4.494998425732751,6.957046186615536e-6,0.004597061519089177,CTB-61M7.2
ENSG00000120306,50.65566458616334,-2.128738352369106,0.47744001214739024,-4.4586509262067135,8.247711292652076e-6,0.0051630672692002,CYSTM1
ENSG00000273320,19.903609086962113,-2.503919309804494,0.5654292020441002,-4.428351596897541,9.495601959944059e-6,0.005647034485578732,RP11-22N19.2
ENSG00000267519,130.09664525485655,-1.9595760546033394,0.4478282488344773,-4.375731231121202,1.2102606645163774e-5,0.006854685877979902,MIR24-2
ENSG00000105835,305.30820207396505,-2.137550957445838,0.4943438484781581,-4.324016499904484,1.5321382961312104e-5,0.008283296770083916,NAMPT
ENSG00000159388,183.1501929705032,-1.638851308042847,0.38097674271304904,-4.301709590911241,1.6948535272543406e-5,0.008764603414418752,BTG2
ENSG00000003436,76.5845114774423,3.5217373275901664,0.8232134700819987,4.278036567160852,1.8854905243560748e-5,0.00897040971867646,TFPI
ENSG00000166523,68.34988855705525,-3.704888789763743,0.8644315160536108,-4.285925166955587,1.8198024336481338e-5,0.00897040971867646,CLEC4E
ENSG00000179388,11.899127884573725,-3.9024828697550076,0.9142225695687156,-4.268635450113645,1.966723873997872e-5,0.008997005291281035,EGR3
ENSG00000197061,211.63731343785335,2.1384112873073207,0.5091515941505748,4.199950097131413,2.6697381504681953e-5,0.011760690948766191,HIST1H4C
ENSG00000184588,51.59611766246431,-2.290166899996369,0.5510606664552088,-4.155925181029987,3.239738403235682e-5,0.013716793301038302,PDE4B
ENSG00000213741,6550.254483889566,1.0259546964216888,0.24729851680412193,4.148648805824897,3.3444342166647955e-5,0.013716793301038302,RPS29
ENSG00000124766,303.1107951938099,1.8419209928665095,0.4454450795385981,4.1350125469438614,3.549352429014711e-5,0.014071999263566991,SOX4
ENSG00000171858,3201.230786393506,1.0162586346650955,0.24816172722036403,4.095146524196587,4.219014736612019e-5,0.01618740686363334,RPS21
ENSG00000085117,111.18593384661781,2.2797517363287176,0.5639127400325982,4.042738485030382,5.283053352548932e-5,0.019636448929755312,CD82
ENSG00000133134,32.541568017759474,2.9419943467970646,0.7294229150409614,4.033317690097321,5.499484996713613e-5,0.019821477136639915,BEX2
ENSG00000081041,155.24209074054374,-2.4228652224821725,0.6025731809097766,-4.020864683728678,5.798490743554203e-5,0.02028448497171579,CXCL2
ENSG00000205581,473.0499795154103,1.3953253717672236,0.3482823637839407,4.0063049894562655,6.167600109131547e-5,0.02095926734228875,HMGN1
ENSG00000138135,10.743187932675182,-5.372800328406221,1.3534238600632675,-3.969783958260543,7.1937828868538e-5,0.023767459348955307,CH25H
ENSG00000163659,41.63113693526972,-1.3830373489261838,0.3526675948572146,-3.9216456773867683,8.794625205856238e-5,0.028271154648230837,TIPARP
ENSG00000100427,18.41672727699358,2.1514337037947917,0.5509541502596843,3.904923309463672,9.425527078175868e-5,0.029501899754690468,MLC1
ENSG00000169413,176.12621073395542,-2.3405067148526353,0.6020189870283664,-3.8877622887039496,1.0117263573360293e-4,0.030855059728601874,RNASE6
