stratification,formula,term,estimate,p_value,q_value
0,~response+aligned_partition,responseNR,0.264039689804865,0.00834856284070488,0.00834856284070488
1,~response+aligned_partition,responseNR,0.251296926881167,0.015958984938849,0.015958984938849
2,~response+aligned_partition,responseNR,0.19224625720799501,0.172148891983852,0.172148891983852
3,~response+aligned_partition,responseNR,0.154979775179452,0.259491304071844,0.259491304071844
42-44,~response+aligned_partition,responseNR,0.510014762094451,8.34191040513493e-7,8.34191040513493e-7
