id,module,supermodule,dim_1,dim_2,gene_short_name,is_feature_control,is_feature_control_MITO,mean_counts,log10_mean_counts,n_cells_by_counts,pct_dropout_by_counts,total_counts,log10_total_counts
ENSG00000116213,15,2,3.8538727581996373,-0.4779314837822948,WRAP73,FALSE,FALSE,0.029148535922625268,0.012478060550700075,2991,97.1583027723412,3068,3.4869968884318228
ENSG00000173614,15,2,3.8073153317470005,-0.5328454516301189,NMNAT1,FALSE,FALSE,0.016892469644859104,0.0072750312817382356,1739,98.34780625914455,1778,3.250175948083925
ENSG00000159423,15,2,3.785867673208182,-0.5077372334370647,ALDH4A1,FALSE,FALSE,0.00551998023828073,0.002390704690115746,571,99.45750280274383,581,2.7649229846498886
ENSG00000043514,15,2,3.7295303166407994,-0.45468534449434617,TRIT1,FALSE,FALSE,0.01692097212457484,0.00728720395147057,1752,98.33545518460106,1781,3.250907699700856
ENSG00000153904,15,2,3.8046645939845494,-0.5415920756230388,DDAH1,FALSE,FALSE,3.6103140973264673e-4,1.5676565208093393e-4,37,99.96484694168393,38,1.591064607026499
ENSG00000131779,15,2,3.7074146092433384,-0.5625434062848125,PEX11B,FALSE,FALSE,0.028968020217758943,0.012401877329212928,2977,97.17160392954187,3049,3.484299839346786
ENSG00000229801,15,2,3.8077797711390904,-0.5508960030446086,RP11-353N4.1,FALSE,FALSE,0.001168601668345146,5.072209441737684e-4,116,99.88979041176582,123,2.093421685162235
ENSG00000160688,15,2,3.5854010403651646,-0.6276285193333659,FLAD1,FALSE,FALSE,0.038392840177095405,0.01636168496255471,3903,96.29182738898284,4041,3.6065963091792854
ENSG00000240963,15,2,3.7921104252833775,-0.5301491461167369,RP11-518L10.5,FALSE,FALSE,4.085355425922055e-4,1.7738849952240185e-4,43,99.95914644574077,43,1.6434526764861874
ENSG00000271855,15,2,3.7084612668055943,-0.5477789781460796,RP11-214N9.1,FALSE,FALSE,0.008968780283884698,0.0038777284170899056,932,99.11452296349782,944,2.975431808509263
ENSG00000169016,15,2,3.723071557332938,-0.5998566887745891,E2F6,FALSE,FALSE,0.014279742337583369,0.006157751642524977,1471,98.60242841127177,1503,3.1772478362556233
ENSG00000183891,15,2,3.7464918911952427,-0.5358204386601482,TTC32,FALSE,FALSE,0.04831170311817128,0.020490434190400746,4823,95.41775134436696,5085,3.7063763558396903
ENSG00000138050,15,2,3.6464505017299107,-0.7799686856040988,THUMPD2,FALSE,FALSE,0.03926691622171129,0.01672710227803852,3874,96.31937978604138,4133,3.6163704722912695
ENSG00000272606,15,2,3.862687093069022,-0.5778675220379863,RP11-554J4.1,FALSE,FALSE,0.024854162312121154,0.010662069285132325,2539,97.5877401333916,2616,3.417803722639881
ENSG00000115042,15,2,3.7792997181910923,-0.5476353309521709,FAHD2A,FALSE,FALSE,0.0321602979459213,0.013747149914502124,3255,96.90748095084273,3385,3.5296869537729165
