id,module,supermodule,dim_1,dim_2,gene_short_name,is_feature_control,is_feature_control_MITO,mean_counts,log10_mean_counts,n_cells_by_counts,pct_dropout_by_counts,total_counts,log10_total_counts
ENSG00000225880,10,1,0.2230672061938695,-3.0539346478352583,LINC00115,FALSE,FALSE,0.008797765405590286,0.003804111557594276,919,99.12687403804131,926,2.967079734144497
ENSG00000184677,10,1,0.24389771824068346,-2.8960772297749555,ZBTB40,FALSE,FALSE,0.017129990309156896,0.007376459772664239,1770,98.31835369677162,1803,3.256236533205923
ENSG00000117682,10,1,-0.47890984187536917,-3.155217006004814,DHDDS,FALSE,FALSE,0.026317289604195566,0.011281645202541116,2694,97.44047732152697,2770,3.442636525782232
ENSG00000116675,10,1,-0.05276213879399977,-4.065732791222099,DNAJC6,FALSE,FALSE,0.0017196496095160279,7.461929247625744e-4,170,99.8384859482775,181,2.2600713879850747
ENSG00000235927,10,1,-0.03935157055669508,-4.0902088425526655,NEXN-AS1,FALSE,FALSE,9.025785243316169e-4,3.9180808040884495e-4,90,99.91449256085279,95,1.9822712330395684
ENSG00000121940,10,1,-0.41358409835659943,-3.1440625927815473,CLCC1,FALSE,FALSE,0.022488456495715126,0.009658413688169951,2301,97.8138598058031,2367,3.374381698050882
ENSG00000173218,10,1,-0.42202881388069174,-3.2658744595418012,VANGL1,FALSE,FALSE,0.005748000076006613,0.0024891776521300713,576,99.45275238945788,605,2.782472624166286
ENSG00000230850,10,1,-0.3208650230866023,-3.6116090557942426,RP11-782C8.1,FALSE,FALSE,0.0018621620080947043,8.079746279613695e-4,195,99.81473388184772,196,2.294466226161593
ENSG00000163113,10,1,-0.07402663225942335,-4.083482339180473,OTUD7B,FALSE,FALSE,0.004246869477644555,0.0018404865867276546,442,99.58006346552149,447,2.651278013998144
ENSG00000160803,10,1,-0.4788874454300948,-3.2892001412282026,UBQLN4,FALSE,FALSE,0.013880707621563076,0.005986859268112447,1433,98.63853155224504,1461,3.1649473726218416
ENSG00000132716,10,1,0.19501922731584825,-3.029951884544853,DCAF8,FALSE,FALSE,0.042383187337298345,0.018027397998540706,4304,95.91084424344918,4461,3.649529565947819
ENSG00000162738,10,1,0.23824982052034654,-3.0680859825978315,VANGL2,FALSE,FALSE,4.180363691641173e-4,1.8151295149805926e-4,44,99.95819636308359,44,1.6532125137753437
ENSG00000143156,10,1,-0.035400289247567274,-3.9984663269887006,NME7,FALSE,FALSE,0.025462215212723505,0.010919662727855045,2546,97.58108955479126,2680,3.4282968139828798
ENSG00000116711,10,1,-0.020369756172234632,-4.111466958321098,PLA2G4A,FALSE,FALSE,0.008588747221008228,0.003714118446271239,893,99.15157618712827,904,2.9566485792052033
ENSG00000117153,10,1,-0.06590481395536146,-4.072920872963432,KLHL12,FALSE,FALSE,0.021623881277671158,0.009291036355878959,2239,97.87276493054897,2276,3.3573630306151427
ENSG00000162873,10,1,-0.0595318853359767,-4.084768845833305,KLHDC8A,FALSE,FALSE,7.600661257529406e-5,3.300799803245981e-5,8,99.99239933874247,8,0.9542425094393249
ENSG00000180667,10,1,-0.3839726812642165,-3.2028780720601118,YOD1,FALSE,FALSE,0.02071180192676763,0.008903136307178601,2119,97.9867748494119,2180,3.3386556655787003
ENSG00000123836,10,1,-0.005652743528420545,-4.101260735786918,PFKFB2,FALSE,FALSE,0.0058620099948695535,0.0025384057614053026,607,99.42329982708496,617,2.790988475088816
ENSG00000162769,10,1,0.24471740131563463,-3.1076102993855512,FLVCR1,FALSE,FALSE,0.019220172154977483,0.008268010525910061,1973,98.12548691736181,2023,3.3062105081677613
ENSG00000273367,10,1,0.22840128545946398,-3.063669516838554,RP5-827C21.6,FALSE,FALSE,3.8003306287647025e-4,1.6501490857313337e-4,40,99.96199669371235,40,1.6127838567197355
ENSG00000084693,10,1,-0.46118401656561575,-3.265075757301811,AGBL5,FALSE,FALSE,0.007239629847796758,0.0031328047543221316,753,99.28458775913505,762,2.8825245379548803
ENSG00000119760,10,1,-0.06595842833333693,-4.0619262001881635,SUPT7L,FALSE,FALSE,0.029595074771505123,0.012666456385963535,3014,97.1364508712258,3115,3.493597449000527
ENSG00000186889,10,1,-0.03782816524320326,-4.08685858467913,TMEM17,FALSE,FALSE,0.0033157884735972028,0.00143764648641623,338,99.67887206186938,349,2.5440680443502757
ENSG00000115504,10,1,0.4503025234240941,-2.762816383636955,EHBP1,FALSE,FALSE,0.01953369943185057,0.008401585421088197,2001,98.09888460296045,2056,3.313234291694724
ENSG00000203395,10,1,0.1968312681216649,-3.17917568901873,AC015969.3,FALSE,FALSE,5.320462880270584e-4,2.3100332022557162e-4,48,99.95439603245482,56,1.7558748556724915
ENSG00000068654,10,1,0.048983168651526354,-2.9075959465870893,POLR1A,FALSE,FALSE,0.010963953863986168,0.004735671004407397,1137,98.91975601877363,1154,3.062581984228163
ENSG00000114982,10,1,-0.46415993491821966,-3.2027204773793256,KANSL3,FALSE,FALSE,0.019562201911566306,0.008413726556435156,2015,98.08558344575978,2059,3.3138672203691533
ENSG00000204262,10,1,-0.45719497571402273,-3.2659011624226606,COL5A2,FALSE,FALSE,5.985520740304407e-4,2.5987009774634297e-4,60,99.94299504056853,63,1.806179973983887
ENSG00000198130,10,1,-0.3966273806493827,-3.071676327980522,HIBCH,FALSE,FALSE,0.04176563361012408,0.017770026565997802,4138,96.0685579645429,4396,3.643156465619706
ENSG00000151689,10,1,-0.454919179106886,-3.211336447990898,INPP1,FALSE,FALSE,0.030041613620384974,0.012854770531031411,3029,97.12219963136793,3162,3.500099191915723
