id,module,supermodule,dim_1,dim_2,gene_short_name,is_feature_control,is_feature_control_MITO,mean_counts,log10_mean_counts,n_cells_by_counts,pct_dropout_by_counts,total_counts,log10_total_counts
ENSG00000196581,14,4,4.656229001333182,3.345818207465645,AJAP1,FALSE,FALSE,6.65057860033823e-5,2.8882135472009996e-5,7,99.99334942139966,7,0.9030899869919435
ENSG00000142627,14,4,4.755774480153983,3.423257515632149,EPHA2,FALSE,FALSE,1.330115720067646e-4,5.7762350306497826e-5,14,99.98669884279933,14,1.1760912590556813
ENSG00000159363,14,4,4.697859269430106,3.4037534453501666,ATP13A2,FALSE,FALSE,0.02011324985273719,0.008648388483390449,2073,98.0304786516427,2117,3.325925955771466
ENSG00000142920,14,4,4.611605626394217,3.4293696143259966,ADC,FALSE,FALSE,0.0011020958823417637,4.783706034861892e-4,116,99.88979041176582,116,2.0681858617461617
ENSG00000085831,14,4,4.716292363454764,3.3991238333811724,TTC39A,FALSE,FALSE,2.660231440135292e-4,1.1551701908445778e-4,28,99.97339768559864,28,1.462397997898956
ENSG00000230138,14,4,4.608393174459403,3.3209077574839556,RP11-117D22.2,FALSE,FALSE,0.008075702586124993,0.003493147169936135,816,99.224732551732,850,2.929929560084588
ENSG00000185483,14,4,4.7313265622157505,3.420365021430489,ROR1,FALSE,FALSE,1.1400991886294107e-4,4.951105632231313e-5,12,99.98859900811371,12,1.1139433523068367
ENSG00000155367,14,4,4.58071849947161,3.3123175360789263,PPM1J,FALSE,FALSE,0.0019476694472419101,8.450394316397725e-4,196,99.81378379919053,205,2.3138672203691533
ENSG00000229961,14,4,4.7076916516322544,3.389442131721016,RP11-71G12.1,FALSE,FALSE,1.0450909229102932e-4,4.5385350541152285e-5,11,99.98954909077091,11,1.0791812460476249
ENSG00000227421,14,4,4.666811925222342,3.3595515944590533,RP11-476B1.1,FALSE,FALSE,3.325289300169115e-4,1.4439147353872256e-4,32,99.96959735496989,35,1.5563025007672873
ENSG00000054277,14,4,4.633422833730643,3.3440605857005083,OPN3,FALSE,FALSE,0.04174663195698026,0.017762105025775632,4189,96.02010374902616,4394,3.642958879409791
ENSG00000223929,14,4,4.739475232412284,3.4160443999400103,AC007381.2,FALSE,FALSE,7.600661257529406e-5,3.300799803245981e-5,8,99.99239933874247,8,0.9542425094393249
ENSG00000119866,14,4,4.485987168600028,3.1803290106883013,BCL11A,FALSE,FALSE,0.10325498318353697,0.042675897745538656,8681,91.7523324529234,10868,4.036189588754199
ENSG00000234572,14,4,4.578850728322928,3.2453653075327837,AC007880.1,FALSE,FALSE,4.940429817394113e-4,2.145071572766699e-4,51,99.95154578448326,52,1.7242758696007892
ENSG00000115718,14,4,4.639218312551444,3.342740700446602,PROC,FALSE,FALSE,9.310810040473521e-4,4.041752115168948e-4,91,99.91354247819561,98,1.99563519459755
ENSG00000226806,14,4,4.707143765737479,3.3986145712962115,AC011893.3,FALSE,FALSE,4.085355425922055e-4,1.7738849952240185e-4,40,99.96199669371235,43,1.6434526764861874
