id,module,supermodule,dim_1,dim_2,gene_short_name,is_feature_control,is_feature_control_MITO,mean_counts,log10_mean_counts,n_cells_by_counts,pct_dropout_by_counts,total_counts,log10_total_counts
ENSG00000230368,3,1,0.812921148588126,-0.3992539189229045,FAM41C,FALSE,FALSE,0.011286981967431166,0.00487441671744765,1171,98.88745320842914,1188,3.0751818546186915
ENSG00000241180,3,1,0.9023799717921666,-1.4316714547047649,RP11-54O7.2,FALSE,FALSE,2.5652231744161745e-4,1.1139194030132125e-4,27,99.97434776825584,27,1.4471580313422192
ENSG00000235098,3,1,1.801668149282401,-2.527472569740776,ANKRD65,FALSE,FALSE,4.940429817394113e-4,2.145071572766699e-4,52,99.95059570182606,52,1.7242758696007892
ENSG00000179403,3,1,0.7591804087657383,-2.6680351040730512,VWA1,FALSE,FALSE,5.320462880270584e-4,2.3100332022557162e-4,56,99.9467953711973,56,1.7558748556724915
ENSG00000231050,3,1,1.5212606013316563,-1.2615586660275493,RP1-140A9.1,FALSE,FALSE,7.980694320405875e-4,3.464589197556548e-4,83,99.92114313945312,84,1.9294189257142929
ENSG00000067606,3,1,2.0029091656703404,-1.7783904812703166,PRKCZ,FALSE,FALSE,0.007695669523248522,0.0033293922259112255,799,99.24088395690424,810,2.909020854211156
ENSG00000157933,3,1,1.141577941228812,-1.7030918739209209,SKI,FALSE,FALSE,0.023676059817204095,0.010162546785011788,2435,97.686548729739485,2492,3.3967222785037734
ENSG00000177133,3,1,1.825601083089774,-2.4968080065617597,LINC00982,FALSE,FALSE,5.795504208866171e-4,2.5162264281230497e-4,61,99.94204495791134,61,1.792391689498254
ENSG00000142611,3,1,2.1136247933406285,-1.7607512615094218,PRDM16,FALSE,FALSE,0.0016246413437969102,7.050002393571761e-4,163,99.84513652687784,171,2.2355284469075487
ENSG00000162591,3,1,0.7316753685969761,-1.5340795658001933,MEGF6,FALSE,FALSE,0.004560396754517643,0.001976052770369708,476,99.547760655177,480,2.682145076373832
ENSG00000227372,3,1,1.9320461571711949,-1.8381778738865886,TP73-AS1,FALSE,FALSE,0.00817071085184411,0.003534076260043945,856,99.18672924544435,860,2.935003151453655
ENSG00000130764,3,1,2.0836500943202427,-1.8199613831410442,LRRC47,FALSE,FALSE,0.048444714690178046,0.020545534717423066,4870,95.37309745947897,5099,3.7075701760979363
ENSG00000204859,3,1,1.400218707372611,-1.946432902611259,ZBTB48,FALSE,FALSE,0.019229672981549394,0.008272058853675966,1984,98.1150360081327,2024,3.3064250275506875
ENSG00000230679,3,1,1.2852169096965245,-2.2705053828129804,ENO1-AS1,FALSE,FALSE,0.005957018260588671,0.0025794249236540997,615,99.41569916582743,627,2.797959643737196
ENSG00000197241,3,1,2.016195517827933,-0.2798991940388713,SLC2A7,FALSE,FALSE,1.2351074543485283e-4,5.3636722910513426e-5,13,99.98764892545651,13,1.146128035678238
ENSG00000180758,3,1,1.3590597928065709,-0.54563285330629685,GPR157,FALSE,FALSE,0.0028597487981454387,0.0012402006355327901,298,99.71687536815703,301,2.4800069429571505
ENSG00000231789,3,1,2.9361886799830845,-0.47348643759584763,RP11-558F24.4,FALSE,FALSE,0.0022801983772588216,9.89150271552814e-4,223,99.78813156744637,240,2.3820170425748683
ENSG00000142655,3,1,0.35963348751253404,-1.662029757297996,PEX14,FALSE,FALSE,0.016255914264541014,0.007003086055980133,1686,98.39816063997567,1711,3.2335037603411343
ENSG00000116688,3,1,3.2119543374080113,0.39006929179334304,MFN2,FALSE,FALSE,0.027732912763410417,0.011880264869315737,2829,97.31221616280617,2919,3.4653828514484184
ENSG00000132906,3,1,2.231890898992484,-1.5815261147389446,CASP9,FALSE,FALSE,0.012835616698652783,0.005538965050564896,1324,98.74209056187888,1351,3.130976691605617
ENSG00000116138,3,1,1.7710704625148228,-1.4566694639096294,DNAJC16,FALSE,FALSE,0.0239230813080738,0.010267332989266287,2455,97.66754707659567,2518,3.401228167498113
ENSG00000179743,3,1,1.4532675564784459,-0.575172498024467,RP11-169K16.9,FALSE,FALSE,0.07735572994850552,0.03235912580981664,7472,92.90098238546753,8142,3.9107844347928373
ENSG00000261135,3,1,1.1777660668391636,-0.21061618546343186,RP4-798A10.7,FALSE,FALSE,0.005576985197712201,0.0024153250239477234,577,99.4518023068007,587,2.7693773260761385
ENSG00000215908,3,1,2.755464297582572,-0.02036251047945359,CROCCP2,FALSE,FALSE,0.024911167271552626,0.010686225161877042,2581,97.54783666178957,2622,3.4187982905903533
ENSG00000117122,3,1,1.5922555745143345,-2.4953714154133833,MFAP2,FALSE,FALSE,3.420297565888232e-4,1.485162388943068e-4,36,99.96579702434111,36,1.568201724066995
ENSG00000158747,3,1,1.798402768423026,-2.521913006103996,NBL1,FALSE,FALSE,0.005767001729150436,0.002497382724525999,584,99.44515172820036,607,2.783903579272735
ENSG00000075151,3,1,2.407158595373099,-2.164169266022209,EIF4G3,FALSE,FALSE,0.07065764721530773,0.029650623311836908,6800,93.5394379311,7437,3.8714561740229536
ENSG00000187942,3,1,2.5408029377955845,-2.1930695317158735,LDLRAD2,FALSE,FALSE,0.0010925950557698519,4.7424896978851786e-4,115,99.89074049442301,115,2.0644579892269186
ENSG00000142798,3,1,1.9429306805629185,-1.7403560421834026,HSPG2,FALSE,FALSE,0.004854922378246907,0.0021033642851798116,490,99.53445949797633,511,2.709269960975831
ENSG00000228397,3,1,0.780139428426688,-1.1451951704392467,RP1-224A6.3,FALSE,FALSE,0.0028312463184297035,0.0012278572888337392,295,99.71972561612861,298,2.4756711883244296
ENSG00000218510,3,1,0.15999816065019884,-1.2781843088040385,LINC00339,FALSE,FALSE,0.02104433085678454,0.009044598334242045,2156,97.95162179109582,2215,3.345569756056392
