id,module,supermodule,dim_1,dim_2,gene_short_name,is_feature_control,is_feature_control_MITO,mean_counts,log10_mean_counts,n_cells_by_counts,pct_dropout_by_counts,total_counts,log10_total_counts
ENSG00000187608,7,1,-4.829196470926339,1.374168322288033,ISG15,FALSE,FALSE,1.064919147965873,0.3149030514986182,42041,60.05757500902579,112087,5.0495591200638135
ENSG00000116663,7,1,-4.5842275797825405,1.2841514803996052,FBXO6,FALSE,FALSE,0.05054439736257054,0.021414410975325537,5001,95.24863663138693,5320,3.7259932589247224
ENSG00000116691,7,1,-4.431056994150216,1.2591494776835408,MIIP,FALSE,FALSE,0.06041575617078686,0.02547617206670596,5984,94.31470537936801,6359,3.803457115648414
ENSG00000116731,7,1,-6.306564825723703,0.7827152468790974,PRDM2,FALSE,FALSE,0.11975791893894769,0.049124142462406754,11587,88.99139225112584,12605,4.100577302789596
ENSG00000117318,7,1,-5.6935815989475795,1.232613728248116,ID3,FALSE,FALSE,0.013092139016094401,0.005648945504933045,1153,98.90455469625857,1378,3.13956426617585
ENSG00000185436,7,1,-6.171689528177316,0.9604739405741658,IFNLR1,FALSE,FALSE,0.0011400991886294108,4.948567471279791e-4,120,99.88599008113705,120,2.08278537031645
ENSG00000126709,7,1,-4.7357731043797084,1.362834379874703,IFI6,FALSE,FALSE,0.882208752161438,0.27466778853021445,37187,64.66927622703176,92856,4.967814648482728
ENSG00000203995,7,1,-6.195684450815255,0.27717726012372634,ZYG11A,FALSE,FALSE,1.2351074543485283e-4,5.3636722910513426e-5,13,99.98764892545651,13,1.146128035678238
ENSG00000137959,7,1,-4.784986036966378,1.4132034041514363,IFI44L,FALSE,FALSE,0.2055123795770232,0.0811716745677935,14652,86.0793889068349,21631,4.335096674261542
ENSG00000137965,7,1,-4.8727503001194545,1.3899094321360554,IFI44,FALSE,FALSE,0.14195184981093356,0.057647792349172666,12394,88.22467554677257,14941,4.174408732073122
ENSG00000234184,7,1,-6.26283790464216,0.39590780516767166,RP5-887A10.1,FALSE,FALSE,0.011819028255458225,0.005102842485713394,577,99.4518023068007,1244,3.095169351431755
ENSG00000117226,7,1,-4.504872339914376,1.2829944350352254,GBP3,FALSE,FALSE,0.05295760731183613,0.022410886587998703,5302,94.96266175157238,5574,3.746244871720198
ENSG00000117228,7,1,-4.4175007521610805,1.2661623217692342,GBP1,FALSE,FALSE,0.1710908849069869,0.06859060069315429,13233,87.42755619738918,18008,4.2554895980755365
