id,module,supermodule,dim_1,dim_2,gene_short_name,is_feature_control,is_feature_control_MITO,mean_counts,log10_mean_counts,n_cells_by_counts,pct_dropout_by_counts,total_counts,log10_total_counts
ENSG00000224870,5,1,4.358201009084647,-1.7078982732663188,RP4-758J18.2,FALSE,FALSE,0.02427461189123454,0.010416408241614116,2476,97.64759534079465,2555,3.4075608494863627
ENSG00000182873,5,1,5.93721149568743,-3.0600803635487592,RP11-181G12.2,FALSE,FALSE,6.745586866057347e-4,2.928583513415296e-4,70,99.93349421399662,71,1.8573324964312685
ENSG00000203301,5,1,5.960730058004325,-3.0817793152699506,AL590822.1,FALSE,FALSE,0.001444125638930587,6.267233713586817e-4,151,99.85653751876413,152,2.184691430817599
ENSG00000157911,5,1,3.3905439198512486,-1.7618590138325725,PEX10,FALSE,FALSE,0.013320158853820282,0.005746682532892194,1365,98.703137172934035,1402,3.1470576710283598
ENSG00000236423,5,1,4.693364602376883,-3.121877505577568,LINC01134,FALSE,FALSE,0.0019476694472419101,8.450394316397725e-4,202,99.80808330324739,205,2.3138672203691533
ENSG00000041988,5,1,4.4168405354518345,-1.7839782379040752,THAP3,FALSE,FALSE,0.021557375491667776,0.009262763684729074,2216,97.89461683166435,2269,3.3560258571931225
ENSG00000171735,5,1,5.60528371935076,-3.0591893933186567,CAMTA1,FALSE,FALSE,0.2004199365344785,0.07933319956105668,18102,82.80160373952535,21095,4.324200116785378
ENSG00000049249,5,1,3.1535584748286656,-3.07297451714373,TNFRSF9,FALSE,FALSE,0.002261196724114998,9.809166544992361e-4,206,99.80428297261862,238,2.3783979009481375
ENSG00000171621,5,1,4.734005433370536,-2.9596400998005903,SPSB1,FALSE,FALSE,0.003239781861021909,0.0014047450777202209,332,99.68457255781253,341,2.534026106056135
ENSG00000040487,5,1,3.3306786835689,-1.7161990545163188,PQLC2,FALSE,FALSE,0.012503087768635871,0.005396356330000144,1292,98.77249320690899,1316,3.119585774961784
ENSG00000236936,5,1,5.750872594167655,-2.9612460873494184,RP3-329E20.2,FALSE,FALSE,0.0013396165466395577,5.81398735277498e-4,136,99.870788758622,141,2.1522883443830563
ENSG00000189266,5,1,2.9956855595607212,-3.013202740944389,PNRC2,FALSE,FALSE,0.011667015030307636,0.005037590239272146,1217,98.84374940619834,1228,3.089551882886454
ENSG00000225643,5,1,3.610609990407889,-4.329089476860527,RP11-70P17.1,FALSE,FALSE,0.0023562049898341155,0.0010220831788769612,246,99.76627966633097,248,2.3961993470957363
ENSG00000158014,5,1,3.5014958203334263,-3.146672084129814,SLC30A2,FALSE,FALSE,3.040264503011762e-4,1.3201694241395744e-4,25,99.97624793357022,32,1.5185139398778875
ENSG00000175087,5,1,5.3727636158961705,-2.46883793095446,PDIK1L,FALSE,FALSE,0.008997282763600433,0.003889996680554397,933,99.11357288084062,947,2.976808337338066
ENSG00000186501,5,1,4.460558396627372,-1.790178134239677,TMEM222,FALSE,FALSE,0.03617914758583997,0.015434848152292019,3670,96.51319664810839,3808,3.580810972660946
ENSG00000186056,5,1,3.516279441167777,-2.7948767683873212,MATN1-AS1,FALSE,FALSE,0.006432059589184259,0.002784462641049776,661,99.37199536359664,677,2.8312296938670634
ENSG00000121766,5,1,4.6838364422816685,-4.048293664253715,ZCCHC17,FALSE,FALSE,0.12200011400991886,0.04999290105015701,11443,89.12820415376139,12841,4.108632665580476
ENSG00000134668,5,1,4.624426823903983,-2.341401054657463,SPOCD1,FALSE,FALSE,0.0011210975354855872,4.866137535353784e-4,112,99.8935907423946,118,2.075546961392531
ENSG00000121775,5,1,4.692602139760917,-3.132134034431938,TMEM39B,FALSE,FALSE,0.024569137514963802,0.01054126974370071,2520,97.60579170387824,2586,3.4127964287165433
ENSG00000160051,5,1,3.595960599233573,-2.426994039810661,IQCC,FALSE,FALSE,0.0016436429969407338,7.132390890131725e-4,172,99.83658578296311,173,2.2405492482825995
ENSG00000160055,5,1,3.3565606892604283,-1.8834455750355754,TMEM234,FALSE,FALSE,0.01635092253026013,0.007043685708426501,1686,98.39816063997567,1721,3.236033147117636
ENSG00000187513,5,1,3.5646118939418248,-3.5931144497761762,GJA4,FALSE,FALSE,0.0012161058012047049,5.27827157051273e-4,80,99.9239933874247,128,2.110589710299249
ENSG00000117385,5,1,3.376459580709403,-4.097592189110283,LEPRE1,FALSE,FALSE,0.027229368955099094,0.011667427579143949,2767,97.37112128755201,2866,3.4574276929464847
ENSG00000126088,5,1,3.379710894872611,-3.647286965645317,UROD,FALSE,FALSE,0.0898683185437133,0.03737402823002929,8075,92.32808254318125,9459,3.975891136401793
ENSG00000142961,5,1,3.74913833742327,-3.182481362617973,MOB3C,FALSE,FALSE,0.01027989435080852,0.0044417101510731295,1014,99.03661618560815,1082,3.0346284566253203
ENSG00000224805,5,1,5.247840386678641,-2.5313645146260297,LINC00853,FALSE,FALSE,0.003923841374199555,0.0017007680625227976,400,99.61996693712352,413,2.617000341120899
ENSG00000162366,5,1,4.968666058828299,-3.4262667439351118,PDZK1IP1,FALSE,FALSE,0.01033689931023999,0.00446621448995268,933,99.11357288084062,1088,3.037027879755775
ENSG00000162367,5,1,4.514242154409354,-3.4407051346669233,TAL1,FALSE,FALSE,0.010726433199688372,0.004633623811645179,928,99.11832329412658,1129,3.05307844348342
ENSG00000162368,5,1,5.155601006795829,-2.4553668043980634,CMPK1,FALSE,FALSE,0.24418074372470405,0.09488347545157987,22021,79.07822980599313,25701,4.409966919252241
ENSG00000123091,5,1,4.559654218007987,-4.081747367180351,RNF11,FALSE,FALSE,0.08507990195146978,0.03546171947390189,8325,92.09056187888346,8955,3.9521140849069925
ENSG00000184313,5,1,3.0800866902369908,-3.001085116661552,MROH7,FALSE,FALSE,9.500826571911756e-4,4.124197699426931e-4,99,99.90594181693807,100,2.0043213737826426
ENSG00000162407,5,1,5.919405442525809,-3.0369933388600385,PPAP2B,FALSE,FALSE,9.500826571911756e-4,4.124197699426931e-4,97,99.90784198225245,100,2.0043213737826426
