id,module,supermodule,dim_1,dim_2,gene_short_name,is_feature_control,is_feature_control_MITO,mean_counts,log10_mean_counts,n_cells_by_counts,pct_dropout_by_counts,total_counts,log10_total_counts
ENSG00000228463,2,1,-1.0701221405964443,-0.9715660206446681,AP006222.2,FALSE,FALSE,0.02883500864575218,0.012345733771231961,2942,97.20485682254356,3035,3.4823017672234426
ENSG00000160087,2,1,-2.4192240416508266,-1.621449603832725,UBE2J2,FALSE,FALSE,0.08712257966443081,0.03627851618419758,8504,91.92049708324625,9170,3.962416693445751
ENSG00000169972,2,1,-2.5192742526035854,-3.266460730827812,PUSL1,FALSE,FALSE,0.022241435004845423,0.009553480443574618,2267,97.84616261614761,2341,3.369586890736344
ENSG00000127054,2,1,-1.9551775633793422,-1.9937487385640178,CPSF3L,FALSE,FALSE,0.06720884716970377,0.02824941689205439,6688,93.64584718870542,7074,3.8497264441963277
ENSG00000175756,2,1,-2.454571264932687,-1.7170011542210613,AURKAIP1,FALSE,FALSE,0.3630550857924639,0.13451340753847169,29481,71.99061318334695,38213,4.582222499269305
ENSG00000242485,2,1,-1.5815942465763637,-1.9436013243565593,MRPL20,FALSE,FALSE,0.3254508142208372,0.12236361625710518,26812,74.5263837953902,34255,4.534736649950363
ENSG00000160072,2,1,-1.136213976095254,-2.4234461329350507,ATAD3B,FALSE,FALSE,0.013320158853820282,0.005746682532892194,1373,98.69553651167652,1402,3.1470576710283598
ENSG00000197785,2,1,-1.7090418517094204,-2.5358267567524946,ATAD3A,FALSE,FALSE,0.018906644878104395,0.008134394534787006,1873,98.22049518308093,1990,3.2990712600274095
ENSG00000160075,2,1,-2.292616027544076,-0.5889100573430095,SSU72,FALSE,FALSE,0.3797480380793129,0.13979978519649,31190,70.36692192220724,39970,4.601745013635368
ENSG00000272106,2,1,-0.2986840784054347,-1.651907219685081,RP11-345P4.9,FALSE,FALSE,0.012265567104338078,0.005294464280192474,1282,98.78199403348091,1291,3.1112625136590655
ENSG00000157916,2,1,-2.5661499678593227,-1.5783023379216228,RER1,FALSE,FALSE,0.2076120622494157,0.0819274423290311,18477,82.44532274307865,21852,4.339511065746308
