id,module,supermodule,dim_1,dim_2,gene_short_name,is_feature_control,is_feature_control_MITO,mean_counts,log10_mean_counts,n_cells_by_counts,pct_dropout_by_counts,total_counts,log10_total_counts
ENSG00000236810,19,6,0.639535409261649,-4.49478323677874,RP5-886K2.3,FALSE,FALSE,0.012778611739221313,0.005514521166846869,1308,98.75729188439394,1345,3.1290450598879582
ENSG00000134183,19,6,0.6835511744517735,-4.5733068726429975,GNAT2,FALSE,FALSE,6.65057860033823e-5,2.8882135472009996e-5,7,99.99334942139966,7,0.9030899869919435
ENSG00000269279,19,6,0.7113219321269444,-4.5756707928547895,AL136376.1,FALSE,FALSE,3.8003306287647025e-4,1.6501490857313337e-4,40,99.96199669371235,40,1.6127838567197355
ENSG00000143224,19,6,0.749005657484,-4.338173224724296,PPOX,FALSE,FALSE,0.01958120356471013,0.008421820458105323,1999,98.10078476827483,2061,3.3142886609474975
ENSG00000228106,19,6,0.5989993632335118,-4.510175063408378,RP11-452F19.3,FALSE,FALSE,0.019505196952134835,0.008389443946314107,2015,98.08558344575978,2053,3.3126004392612596
ENSG00000268412,19,6,0.6908682406444004,-4.564181401527885,AC013449.1,FALSE,FALSE,0.0067075835597697,0.002903340177649536,695,99.33969255325214,706,2.8494194137968996
ENSG00000155729,19,6,0.6727734625834874,-4.584983899391655,KCTD18,FALSE,FALSE,0.029956106181237768,0.012818716695973538,3045,97.10699830885287,3153,3.498861688992884
ENSG00000144583,19,6,0.6919076264399937,-4.5855913899312055,MARCH4,FALSE,FALSE,7.600661257529406e-5,3.300799803245981e-5,8,99.99239933874247,8,0.9542425094393249
ENSG00000170364,19,6,0.6219513237971714,-4.498991563118461,SETMAR,FALSE,FALSE,0.008949778630740875,0.0038695493822411557,915,99.13067436867009,942,2.9745116927373285
ENSG00000237473,19,6,0.6984575808543614,-4.588236644066337,RP11-324C10.1,FALSE,FALSE,2.185190111539704e-4,9.489123334339935e-5,23,99.9781480988846,23,1.380211241711606
ENSG00000169760,19,6,0.7189069808024815,-4.574475123680595,NLGN1,FALSE,FALSE,5.225454614551466e-4,2.2687933823053048e-4,50,99.95249586714044,55,1.7481880270062005
ENSG00000127249,19,6,0.7504839718837193,-4.522732331551079,ATP13A4,FALSE,FALSE,0.0010260892697664698,4.453964386047547e-4,107,99.89834115568055,108,2.037426497940624
ENSG00000151834,19,6,0.687205177595084,-4.588333918846611,GABRA2,FALSE,FALSE,1.330115720067646e-4,5.7762350306497826e-5,13,99.98764892545651,14,1.1760912590556813
ENSG00000109265,19,6,0.6959216416377476,-4.562215878761772,KIAA1211,FALSE,FALSE,7.125619928933817e-4,3.0935153853781235e-4,73,99.93064396602504,75,1.8808135922807914
ENSG00000247950,19,6,0.7606581271190098,-4.566651418007377,SEC24B-AS1,FALSE,FALSE,0.007515153818382199,0.0032515869920150963,786,99.25323503144774,791,2.8987251815894934
ENSG00000153157,19,6,0.7013885796565464,-4.552277638710502,SYCP2L,FALSE,FALSE,3.8003306287647025e-4,1.6501490857313337e-4,34,99.9676971896555,40,1.6127838567197355
ENSG00000075223,19,6,0.7003083050746373,-4.584331586159233,SEMA3C,FALSE,FALSE,0.0026222281338476447,0.001137328692018629,268,99.74537784787276,276,2.4424797690644486
ENSG00000165197,19,6,0.7027058423060826,-4.5857885620961225,FIGF,FALSE,FALSE,9.500826571911757e-6,4.126136952878857e-6,1,99.9990499173428,1,0.3010299956639812
ENSG00000177669,19,6,0.7397049487132481,-4.549716546333793,MBOAT4,FALSE,FALSE,3.325289300169115e-4,1.4439147353872256e-4,34,99.9676971896555,35,1.5563025007672873
ENSG00000104361,19,6,0.678724747945731,-4.5174432537922895,NIPAL2,FALSE,FALSE,0.017567028331464837,0.00756302632547316,1810,98.28035039048397,1849,3.2671717284030137
ENSG00000136960,19,6,0.6869249165553502,-4.552952840126518,ENPP2,FALSE,FALSE,0.002137685978680145,9.273943384283874e-4,215,99.7957322287039,225,2.3541084391474008
