id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_short_name
ENSG00000109534,48.422510985548186,0.8885765741003425,0.31612739282257896,2.810818025501007,0.0049415725801077795,0.14753117757571182,GAR1
ENSG00000067533,48.27943364337202,0.9149733827800771,0.35356678531535374,2.5878374914770146,0.009658053303877985,0.18698467333881985,RRP15
ENSG00000103319,6.811025437400984,1.5179665242483238,0.6931117437779079,2.1900747431783847,0.028518816610293214,0.2721738845670276,EEF2K
ENSG00000101361,129.5194678503287,0.5286522519085224,0.41449265329094453,1.2754200773190687,0.20216059606880515,0.5567389421535521,NOP56
ENSG00000187840,196.44794466665599,-0.3765397002182523,0.3150407806710724,-1.195209392943289,0.232005229593715,0.5885113482872661,EIF4EBP1
ENSG00000052749,30.072178679052016,-0.6641744842877971,0.7033185719063433,-0.9443437310173024,0.3449940255985556,0.6901456731419914,RRP12
ENSG00000100227,40.083686782997916,-0.22098777275305564,0.2698640887210152,-0.8188854389644716,0.412851778316219,0.7380364104190807,POLDIP3
ENSG00000114767,16.70262188946283,0.4449844878910076,0.5899269060511778,0.754304445731458,0.45066643343451673,0.762988470075221,RRP9
ENSG00000241945,15.643712113100808,0.29909661861710846,0.5508964165235353,0.5429271450059079,0.5871799652981686,0.8406726260203533,PWP2
ENSG00000087269,37.72041217621108,0.18880875380020512,0.38433857286829715,0.49125632223467974,0.6232451679511791,0.860601352486249,NOP14
ENSG00000063046,403.1723960761556,-0.15898045313069048,0.3822177166198968,-0.41594213511769634,0.6774523462259345,0.8841136475665842,EIF4B
ENSG00000088205,262.87725811008335,0.0018900233232476994,0.278775656199067,0.00677972872171478,0.9945906005668003,0.9972084990094691,DDX18
